site_id,site,state,station_nm,lat,lon,huc_cd,huc2,huc2_name,drain_area_va,wtemp_cov,flow_cov,wlevel_cov
n00,14161500,OR,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,17090004,17,Pacific Northwest,24.1,0.581,1.0,0.0
n01,14159500,OR,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,17090004,17,Pacific Northwest,208,0.999,1.0,0.0
n02,07106000,CO,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,11020003,11,Arkansas-White-Red,672,0.862,1.0,0.0
n03,07178200,OK,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,11070107,11,Arkansas-White-Red,1123,0.909,1.0,0.0
n04,08052700,TX,"Little Elm Ck nr Aubrey, TX",33.28344977,-96.8927805,12030103,12,Texas-Gulf,75.5,0.666,1.0,0.998
n05,09136100,CO,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,14020004,14,Upper Colorado,969,0.774,0.781,0.0
n06,13056500,ID,HENRYS FORK NR REXBURG ID,43.8258333,-111.905,17040203,17,Pacific Northwest,2920,0.726,1.0,0.0
n07,02110400,SC,"BUCK CREEK NEAR LONGS, SC",33.95346259,-78.71974629,03040206,03,South Atlantic-Gulf,46.9,0.99,0.794,0.446
n08,13342500,ID,CLEARWATER RIVER AT SPALDING ID,46.4483333,-116.8275,17060306,17,Pacific Northwest,9283,0.993,1.0,0.0
n09,03077500,PA,"Youghiogheny River at Youghiogheny River Dam, PA",39.80535485,-79.3642019,05020006,05,Ohio,436,0.845,0.75,0.0
n10,02334885,GA,"SUWANEE CREEK AT SUWANEE, GA",34.0325,-84.08888889,03130001,03,South Atlantic-Gulf,47.1,0.988,1.0,0.985
n11,12056500,WA,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",47.51425666,-123.3298868,17110017,17,Pacific Northwest,57.2,0.62,1.0,0.999
n12,08065350,TX,"Trinity Rv nr Crockett, TX",31.33851319,-95.6563407,12030201,12,Texas-Gulf,13911,0.932,1.0,0.977
n13,11507500,OR,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,18010204,18,California,3810,0.985,1.0,0.0
n14,12388700,MT,Flathead River at Perma MT,47.36679167,-114.585,17010212,17,Pacific Northwest,9024,0.617,1.0,0.0
n15,01426500,NY,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778,02040101,02,Mid-Atlantic,595,0.997,1.0,0.0
n16,14152000,OR,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",43.99818166,-122.9059126,17090001,17,Pacific Northwest,1340,0.99,1.0,0.0
n17,12210700,WA,"NOOKSACK RIVER AT NORTH CEDARVILLE, WA",48.84174,-122.2943049,17110004,17,Pacific Northwest,589,0.835,1.0,0.999
n18,09144250,CO,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,14020005,14,Upper Colorado,5636,0.762,1.0,0.0
n19,03277075,KY,"GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY",38.99416667,-84.7161111,05090203,05,Ohio,36.6,0.577,1.0,0.0
n20,05054000,ND,"RED RIVER OF THE NORTH AT FARGO, ND",46.861111,-96.783333,090201040504,09,Souris-Red-Rainy,6800.0,0.954,1.0,0.99
n21,12398600,WA,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,17010216,17,Pacific Northwest,25200,0.937,1.0,0.0
n22,07332622,TX,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",33.74416667,-95.9611111,11140101,11,Arkansas-White-Red,370,0.68,0.772,0.761
n23,01388000,NJ,Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,020301030205,02,Mid-Atlantic,160.0,0.956,1.0,0.0
n24,04125460,MI,"PINE RIVER AT HIGH SCHOOL BRIDGE NR HOXEYVILLE, MI",44.19334009,-85.7697863,04060103,04,Great Lakes,245,0.985,1.0,0.0
n25,02458450,AL,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176481,-86.87915889,03160111,03,South Atlantic-Gulf,33.50,0.995,1.0,0.996
n26,02110701,SC,"CRABTREE SWAMP AT CONWAY, SC",33.86100349,-79.0411471,03040206,03,South Atlantic-Gulf,18.9,0.927,0.839,0.369
n27,14320934,OR,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,17100303,17,Pacific Northwest,9.05,0.866,0.889,0.0
n28,02474560,MS,"LEAF RIVER NR NEW AUGUSTA, MS",31.22166667,-89.0530556,03170005,03,South Atlantic-Gulf,2542,0.6,0.999,0.989
n29,02336300,GA,"PEACHTREE CREEK AT ATLANTA, GA",33.82030556,-84.40763889,03130001,03,South Atlantic-Gulf,86.8,0.974,1.0,0.991
n30,04027000,WI,"BAD RIVER NEAR ODANAH, WI",46.4866144,-90.696297,04010302,04,Great Lakes,597,0.613,1.0,0.0
n31,14151000,OR,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794,17090001,17,Pacific Northwest,186,0.987,1.0,0.0
n32,03262001,KY,"WOOLPER CREEK AT WOOLPER ROAD NEAR BURLINGTON, KY",39.03,-84.804167,05090203,05,Ohio,24.2,0.553,1.0,0.0
n33,01540500,PA,"Susquehanna River at Danville, PA",40.95814218,-76.6191222,02050107,02,Mid-Atlantic,11220,0.62,1.0,0.0
n34,02330450,GA,"CHATTAHOOCHEE RIVER AT HELEN, GA",34.7009722,-83.72925,03130001,03,South Atlantic-Gulf,44.7,0.955,1.0,0.962
n35,05059300,ND,"SHEYENNE R AB SHEYENNE R DIVERSION NR HORACE, ND",46.746389,-96.926944,090202040606,09,Souris-Red-Rainy,5020.0,0.608,1.0,0.966
n36,03301900,KY,"FERN CREEK AT OLD BARDSTOWN RD AT LOUISVILLE, KY",38.1756242,-85.615237,05140102,05,Ohio,3.5,0.623,1.0,0.0
n37,06893970,MO,"Spring Branch Ck at Holke Rd in Independence, MO",39.08416667,-94.3372222,10300101,10,Missouri,8.4,0.803,0.944,0.0
n38,10351600,NV,"TRUCKEE RV BLW DERBY DAM NR WADSWORTH, NV",39.58463448,-119.4412872,16050102,16,Great Basin,1676,0.845,1.0,0.0
n39,12117600,WA,"CEDAR RIVER BELOW DIVERSION NEAR LANDSBURG, WA",47.3795458,-121.983448,17110012,17,Pacific Northwest,134,0.994,1.0,0.995
n40,04043238,MI,"SALMON TROUT RIVER NEAR BIG BAY, MI",46.78214818,-87.8776299,04020105,04,Great Lakes,6.74,0.976,1.0,0.0
n41,05057000,ND,"SHEYENNE RIVER NEAR COOPERSTOWN, ND",47.432778,-98.027222,090202030505,09,Souris-Red-Rainy,2810.0,0.982,1.0,0.965
n42,01104455,MA,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",42.37259606,-71.27033448,01090001,01,New England,0.48,0.982,1.0,0.0
n43,14211499,OR,"KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR",45.4767869,-122.4984239,17090012,17,Pacific Northwest,4.69,0.966,1.0,0.0
n44,12115000,WA,"CEDAR RIVER NEAR CEDAR FALLS, WA",47.3701073,-121.6251009,17110012,17,Pacific Northwest,40.7,0.922,1.0,0.375
n45,14153500,OR,"COAST FORK WILLAMETTE R BLW COTTAGE GROVE DAM, OR",43.72067785,-123.0497994,17090002,17,Pacific Northwest,104,0.997,1.0,0.0
n46,01463500,NJ,Delaware River at Trenton NJ,40.22166667,-74.77805556,020401050911,02,Mid-Atlantic,6780.0,0.957,1.0,0.0
n47,04077630,WI,"RED RIVER AT MORGAN ROAD NEAR MORGAN, WI",44.8980311,-88.8442729,04030202,04,Great Lakes,114,0.991,1.0,0.0
n48,01435000,NY,NEVERSINK RIVER NEAR CLARYVILLE NY,41.88994444,-74.5898056,02040104,02,Mid-Atlantic,66.6,0.588,1.0,0.0
n49,08329918,NM,"RIO GRANDE AT ALAMEDA BRIDGE AT ALAMEDA, NM",35.1977222,-106.6427778,13020203,13,Rio Grande,17129,0.644,1.0,0.0
n50,04137005,MI,"AU SABLE RIVER NEAR CURTISVILLE, MI",44.56084749,-83.802764,04070007,04,Great Lakes,1598,0.988,1.0,0.0
n51,13018350,WY,"FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY",43.4583611,-110.7970278,17040103,17,Pacific Northwest,129,0.707,1.0,0.0
n52,03034000,PA,"Mahoning Creek at Punxsutawney, PA",40.93923105,-79.00836738,05010006,05,Ohio,158,0.637,1.0,0.0
n53,06894000,MO,"Little Blue River near Lake City, MO",39.1005609,-94.3005038,10300101,10,Missouri,184,0.987,1.0,0.0
n54,09180000,UT,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,14030004,14,Upper Colorado,4580,0.947,1.0,0.0
n55,01428500,NY,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,41.50875,-74.9860556,02040101,02,Mid-Atlantic,2020,0.986,1.0,0.0
n56,14150800,OR,"WINBERRY CREEK NEAR LOWELL,OR",43.9142924,-122.6886762,17090001,17,Pacific Northwest,43.9,0.803,1.0,0.0
n57,09149500,CO,"UNCOMPAHGRE RIVER AT DELTA, CO",38.74194444,-108.08041667,140200060606,14,Upper Colorado,1114.0,0.763,1.0,0.0
n58,07143672,KS,"L ARKANSAS R AT HWY 50 NR HALSTEAD, KS",38.02853056,-97.5405417,11030012,11,Arkansas-White-Red,759,0.825,1.0,0.993
n59,04208000,OH,Cuyahoga River at Independence OH,41.39533087,-81.6298478,04110002,04,Great Lakes,707,0.566,1.0,0.0
n60,06623800,WY,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.02356508,-106.8248049,10180002,10,Missouri,72.7,0.568,1.0,0.0
n61,03456991,NC,"PIGEON RIVER NEAR CANTON, NC",35.52194444,-82.8480556,06010106,06,Tennessee,130,0.561,1.0,0.995
n62,02176930,GA,"CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",34.97452778,-83.1161667,03060102,03,South Atlantic-Gulf,46.7,0.653,0.753,0.738
n63,13317660,ID,SNAKE RIVER AT McDUFF RAPIDS AT CHINA GARDEN ID,46.00305556,-116.9169444,17060103,17,Pacific Northwest,,1.0,1.0,0.0
n64,01480617,PA,"West Branch Brandywine Creek at Modena, PA",39.9617734,-75.8013341,02040205,02,Mid-Atlantic,55.0,0.813,1.0,0.0
n65,02336728,GA,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",33.74352778,-84.5681667,03130002,03,South Atlantic-Gulf,33.9,0.978,1.0,0.978
n66,03047000,PA,"Loyalhanna Creek at Loyalhanna Dam, PA",40.45888889,-79.4494444,05010008,05,Ohio,290,0.847,0.75,0.0
n67,09258980,WY,"MUDDY CREEK BELOW YOUNG DRAW, NEAR BAGGS, WY",41.06814337,-107.6316359,14050004,14,Upper Colorado,944,0.612,1.0,0.0
n68,11467000,CA,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,38.50848204,-122.9277345,18010110,18,California,1338,0.577,1.0,0.0
n69,14211500,OR,"JOHNSON CREEK AT SYCAMORE, OR",45.47745556,-122.5080194,17090012,17,Pacific Northwest,26.8,0.999,1.0,0.0
n70,05382257,WI,"STILLWELL CREEK AT YARD ROAD NEAR TOMAH, WI",44.00055556,-90.6811111,07040006,07,Upper Mississippi,5.1,0.805,0.819,0.0
n71,03106000,PA,"Connoquenessing Creek near Zelienople, PA",40.8170092,-80.2422837,05030105,05,Ohio,356,0.655,1.0,0.0
n72,12363000,MT,Flathead River at Columbia Falls MT,48.3618111,-114.18495,17010208,17,Pacific Northwest,4473,0.995,1.0,0.0
n73,01542500,PA,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896,02050201,02,Mid-Atlantic,1462,0.665,1.0,0.0
n74,05331833,WI,"NAMEKAGON RIVER AT LEONARDS, WI",46.1713687,-91.3293778,07030002,07,Upper Mississippi,126,0.854,1.0,0.0
n75,08211503,TX,"Rincon Bayou Channel nr Calallen, TX",27.8969652,-97.6255509,12110111,12,Texas-Gulf,,0.867,0.784,0.883
n76,05382255,WI,"STILLWELL CREEK AT SIXTEENTH COURT NEAR TOMAH, WI",43.99388889,-90.6572222,07040006,07,Upper Mississippi,4.1,0.781,0.819,0.0
n77,14316495,OR,"BOULDER CREEK NEAR TOKETEE FALLS, OR",43.3034543,-122.5303237,17100301,17,Pacific Northwest,30.4,0.694,1.0,0.0
n78,05370000,WI,"EAU GALLE RIVER AT SPRING VALLEY, WI",44.85277778,-92.2383333,07050005,07,Upper Mississippi,64,0.614,1.0,0.0
n79,12213100,WA,"NOOKSACK RIVER AT FERNDALE, WA",48.84479237,-122.5893141,17110004,17,Pacific Northwest,786,0.867,1.0,0.994
n80,09380000,AZ,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,140700061105,14,Upper Colorado,111800.0,0.993,1.0,0.0
n81,03353200,IN,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,05120201,05,Ohio,106,0.672,0.999,0.0
n82,09261000,UT,"GREEN RIVER NEAR JENSEN, UT",40.40871944,-109.23523611,14040106,14,Upper Colorado,29660.0,0.968,1.0,0.0
n83,01427207,PA,DELAWARE RIVER AT LORDVILLE NY,41.86727778,-75.21375,020401010406,02,Mid-Atlantic,1590.0,0.949,0.962,0.0
n84,12212050,WA,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",48.9386827,-122.4790353,17110004,17,Pacific Northwest,37.8,0.786,1.0,0.968
n85,02334430,GA,"CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",34.15666667,-84.0784167,03130001,03,South Atlantic-Gulf,1040.00,0.995,1.0,0.997
n86,08123850,TX,"Colorado Rv abv Silver, TX",32.05374399,-100.762052,12080008,12,Texas-Gulf,14910,0.788,1.0,0.987
n87,06893890,MO,"East Fork Little Blue River near Blue Springs, MO",39.02556175,-94.3438385,10300101,10,Missouri,34.4,0.692,0.762,0.0
n88,01549700,PA,"Pine Creek bl L Pine Creek near Waterville, PA",41.27361657,-77.3241186,02050205,02,Mid-Atlantic,944,0.646,1.0,0.0
n89,03105500,PA,"Beaver River at Wampum, PA",40.88867389,-80.3370083,05030104,05,Ohio,2235,0.687,1.0,0.0
n90,06934500,MO,"Missouri River at Hermann, MO",38.70980556,-91.4385,10300200,10,Missouri,522500,0.859,1.0,0.0
n91,03058000,WV,"WEST FORK R BL STONEWALL JACKSON DAM NR WESTON, WV",39.00452778,-80.4733611,05020002,05,Ohio,101,0.842,0.75,0.0
n92,08048000,TX,"W Fk Trinity Rv at Ft Worth, TX",32.76096337,-97.3325167,12030102,12,Texas-Gulf,2615,0.664,1.0,0.995
n93,02266300,FL,"REEDY CREEK NEAR VINELAND, FL",28.33278738,-81.579796,03090101,03,South Atlantic-Gulf,84.6,0.592,1.0,0.982
n94,14179000,OR,"BREITENBUSH R ABV FRENCH CR NR DETROIT, OR.",44.75262179,-122.1289648,17090005,17,Pacific Northwest,108,0.989,1.0,0.0
n95,01400500,NJ,Raritan River at Manville NJ,40.55555556,-74.58277778,02030105,02,Mid-Atlantic,490,0.825,1.0,0.0
n96,05517000,IN,"YELLOW RIVER AT KNOX, IN",41.30279685,-86.62053829,07120001,07,Upper Mississippi,435,0.568,1.0,0.0
n97,05289800,MN,"MINNEHAHA CREEK AT HIAWATHA AVE. IN MINNEAPOLIS,MN",44.91550278,-93.21293889,070102060605,07,Upper Mississippi,176.0,0.565,0.998,0.0
n98,06036905,WY,Firehole River near West Yellowstone MT,44.6201833,-110.8635028,10020007,10,Missouri,261,1.0,1.0,0.0
n99,14091500,OR,"METOLIUS RIVER NEAR GRANDVIEW, OR",44.6262275,-121.4839433,17070301,17,Pacific Northwest,316,0.999,1.0,0.0
n100,13154500,ID,SNAKE RIVER AT KING HILL ID,43.0022222,-115.2025,17050101,17,Pacific Northwest,35800,0.995,1.0,0.0
n101,01104415,MA,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",42.43592855,-71.2600567,01090001,01,New England,0.41,0.971,1.0,0.0
n102,07194880,AR,"Osage Creek near Cave Springs, AR",36.2814592,-94.227997,11110103,11,Arkansas-White-Red,34.7,0.603,0.826,0.0
n103,01073319,NH,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",43.04138889,-71.2016667,01060003,01,New England,55.7,0.595,0.834,0.0
n104,02397000,GA,"COOSA RIVER MAYOS BAR NEAR ROME, GA",34.2005,-85.25641667,03150105,03,South Atlantic-Gulf,,0.983,1.0,0.993
n105,02455980,AL,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,33.71121273,-86.6961013,03160111,03,South Atlantic-Gulf,27.4,0.992,1.0,0.991
n106,14197900,OR,"WILLAMETTE RIVER AT NEWBERG, OR",45.2845625,-122.9614893,17090007,17,Pacific Northwest,8350,0.826,1.0,0.0
n107,09302000,UT,"DUCHESNE RIVER NEAR RANDLETT, UT",40.21027778,-109.7813889,14060003,14,Upper Colorado,3790,0.985,1.0,0.0
n108,14185000,OR,"SOUTH SANTIAM RIVER BELOW CASCADIA, OR",44.39179225,-122.4975817,17090006,17,Pacific Northwest,174,0.811,1.0,0.0
n109,03219500,OH,Scioto River near Prospect OH,40.4195042,-83.1971372,05060001,05,Ohio,567,0.716,1.0,0.0
n110,08062500,TX,"Trinity Rv nr Rosser, TX",32.42652988,-96.4630415,12030105,12,Texas-Gulf,8147,0.897,1.0,0.982
n111,10301500,NV,"WALKER RV NR WABUSKA, NV",39.1524611,-119.0988889,16050303,16,Great Basin,2600,0.957,1.0,0.0
n112,02336120,GA,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA",33.83155556,-84.3427778,03130001,03,South Atlantic-Gulf,34.8,0.989,1.0,0.989
n113,255534081324000,FL,"PUMPKIN RIVER NEAR GOODLAND, FL",25.926,-81.5443056,03090204,03,South Atlantic-Gulf,,0.788,0.78,0.0
n114,07056515,AR,"Bear Creek near Silver Hill, AR",35.94,-92.7133333,11010005,11,Arkansas-White-Red,83.1,0.632,1.0,0.0
n115,03036000,PA,"Mahoning Creek at Mahoning Creek Dam, PA",40.9275653,-79.2911508,05010006,05,Ohio,344,0.778,0.75,0.0
n116,01129500,NH,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",44.74977166,-71.63120018,01080101,01,New England,799,0.858,1.0,0.0
n117,06036805,WY,"Firehole River at Old Faithful, YNP",44.4593333,-110.8222722,10020007,10,Missouri,39.5,0.943,0.95,0.0
n118,09163500,CO,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.1327434,-109.02707585,140100051906,14,Upper Colorado,17849.0,0.986,1.0,0.0
n119,10129900,UT,"SILVER CREEK NEAR SILVER CREEK JUNCTION, UT",40.73522634,-111.4760313,16020101,16,Great Basin,17.4,0.995,1.0,0.0
